,c1_meta,c1_title,c1_imgurl,c2_meta,c2_title,c2_imgurl,c3_meta,c3_title,c3_imgurl
104,kitchen-garden-pets,Kitchen Garden Pets,,storage-accessories,Storage Accessories,,,,
105,snacks-branded-foods,Snacks Branded Foods,,frozen-veggies-snacks,Frozen Veggies Snacks,,frozen-veg-snacks,Frozen Veg Snacks,
106,gourmet-world-food,Gourmet World Food,,snacks-dry-fruits-nuts,Snacks Dry Fruits Nuts,,gourmet-popcorn,Gourmet Popcorn,
107,kitchen-garden-pets,Kitchen Garden Pets,,kitchen-accessories,Kitchen Accessories,,lighters,Lighters,
108,kitchen-garden-pets,Kitchen Garden Pets,,pet-food-accessories,Pet Food Accessories,,,,
109,foodgrains-oil-masala,Foodgrains Oil Masala,,dry-fruits,Dry Fruits,,almonds,Almonds,
110,snacks-branded-foods,Snacks Branded Foods,,ready-to-cook-eat,Ready To Cook Eat,,papads-ready-to-fry,Papads Ready To Fry,
111,foodgrains-oil-masala,Foodgrains Oil Masala,,organic-staples,Organic Staples,,organic-masalas-spices,Organic Masalas Spices,
112,beauty-hygiene,Beauty Hygiene,,skin-care,Skin Care,,whitening-creams-serums,Whitening Creams Serums,
113,beauty-hygiene,Beauty Hygiene,,hair-care,Hair Care,,shampoo-conditioner,Shampoo Conditioner,
114,kitchen-garden-pets,Kitchen Garden Pets,,gardening,Gardening,,seeds-sapling,Seeds Sapling,
115,cleaning-household,Cleaning Household,,all-purpose-cleaners,All Purpose Cleaners,,metal-furniture-cleaner,Metal Furniture Cleaner,
116,snacks-branded-foods,Snacks Branded Foods,,noodle-pasta-vermicelli,Noodle Pasta Vermicelli,,vermicelli,Vermicelli,
117,beverages,Beverages,,energy-soft-drinks,Energy Soft Drinks,,non-alcoholic-drinks,Non Alcoholic Drinks,
118,beverages,Beverages,,water,Water,,packaged-water,Packaged Water,
119,eggs-meat-fish,Eggs Meat Fish,,sausages-bacon-salami,Sausages Bacon Salami,,turkey-duck,Turkey Duck,
120,beauty-hygiene,Beauty Hygiene,,bath-face-hand-wash,Bath Face Hand Wash,,face-wash-scrubs-toner,Face Wash Scrubs Toner,
121,bakery-cakes-dairy,Bakery Cakes Dairy,,breads-buns,Breads Buns,,brown-wheat-multigrain,Brown Wheat Multigrain,
122,beauty-hygiene,Beauty Hygiene,,health-medicine,Health Medicine,,slimming-products,Slimming Products,
123,beauty-hygiene,Beauty Hygiene,,bath-face-hand-wash,Bath Face Hand Wash,,hand-wash-sanitizer,Hand Wash Sanitizer,
124,gourmet-world-food,Gourmet World Food,,dairy-cheese,Dairy Cheese,,milk-soya-drinks,Milk Soya Drinks,
125,cleaning-household,Cleaning Household,,stationery,Stationery,,notebooks-files-folders,Notebooks Files Folders,
126,foodgrains-oil-masala,Foodgrains Oil Masala,,dals-pulses,Dals Pulses,,urad-other-dals,Urad Other Dals,
127,gourmet-world-food,Gourmet World Food,,tinned-processed-food,Tinned Processed Food,,,,
128,snacks-branded-foods,Snacks Branded Foods,,frozen-veggies-snacks,Frozen Veggies Snacks,,frozen-indian-breads,Frozen Indian Breads,
129,beverages,Beverages,,fruit-juices-drinks,Fruit Juices Drinks,,juices-sweetened,Juices Sweetened,
130,beauty-hygiene,Beauty Hygiene,,hair-care,Hair Care,,hair-colours-dyes,Hair Colours Dyes,
131,kitchen-garden-pets,Kitchen Garden Pets,,kitchen-accessories,Kitchen Accessories,,kitchen-tools-other-accessories,Kitchen Tools Other Accessories,
132,snacks-branded-foods,Snacks Branded Foods,,snacks-namkeen,Snacks Namkeen,,,,
133,gourmet-world-food,Gourmet World Food,,cooking-baking-needs,Cooking Baking Needs,,cooking-chocolate-cocoa,Cooking Chocolate Cocoa,
134,kitchen-garden-pets,Kitchen Garden Pets,,storage-accessories,Storage Accessories,,racks-holders,Racks Holders,
135,gourmet-world-food,Gourmet World Food,,drinks-beverages,Drinks Beverages,,aerated-still-sparkling,Aerated Still Sparkling,
136,gourmet-world-food,Gourmet World Food,,cereals-breakfast,Cereals Breakfast,,,,
137,snacks-branded-foods,Snacks Branded Foods,,noodle-pasta-vermicelli,Noodle Pasta Vermicelli,,,,
138,kitchen-garden-pets,Kitchen Garden Pets,,kitchen-accessories,Kitchen Accessories,,knives-peelers,Knives Peelers,
139,beauty-hygiene,Beauty Hygiene,,deodorant-fragrance,Deodorant Fragrance,,,,
140,fruits-vegetables,Fruits Vegetables,,exotic-fruits-veggies,Exotic Fruits Veggies,,exotic-fruits,Exotic Fruits,
